task,noise_multiplier,seed,num_rounds,clip_norm,test_metric_name,test_metric_value,epsilon,delta,shokri_attack_auc,lira_attack_auc,lira_tpr_fpr001,lira_tpr_fpr01,wall_time_seconds
Caco2_Wang,0.0,42,10,1.0,mae,0.5560273993146289,,,0.4919480048993393,0.4710869977745959,0.0,0.006279434850863423,47.6
Caco2_Wang,0.0,1337,10,1.0,mae,0.6046360639425424,,,0.4994350233753687,0.5182776407266203,0.0015698587127158557,0.0031397174254317113,47.3
Caco2_Wang,0.0,2024,10,1.0,mae,0.5652093782529726,,,0.49018407024686456,0.49394914347818586,0.0031397174254317113,0.004709576138147566,47.5
Caco2_Wang,0.5,42,10,1.0,mae,42037.21682120417,48.80169282486775,1e-05,0.5,0.5091517587592941,0.0,0.004709576138147566,47.6
Caco2_Wang,0.5,1337,10,1.0,mae,15342.024545339438,48.80169282486775,1e-05,0.5,0.4929356357927786,0.0015698587127158557,0.006279434850863423,47.6
Caco2_Wang,0.5,2024,10,1.0,mae,15373.993821180784,48.80169282486775,1e-05,0.5,0.4995557817378854,0.0,0.004709576138147566,47.3
Caco2_Wang,1.0,42,10,1.0,mae,4709919.850274044,19.05359753163139,1e-05,0.5,0.5137060741456346,0.0,0.006279434850863423,46.8
Caco2_Wang,1.0,1337,10,1.0,mae,51565479.48226875,19.05359753163139,1e-05,0.5,0.49789535425328213,0.0031397174254317113,0.009419152276295133,47.6
Caco2_Wang,1.0,2024,10,1.0,mae,9526869.770478485,19.05359753163139,1e-05,0.5,0.5037650732313212,0.0031397174254317113,0.004709576138147566,47.3
Caco2_Wang,2.0,42,10,1.0,mae,6387658729.196555,8.079406222420491,1e-05,0.5,0.5132834198768266,0.0,0.006279434850863423,47.6
Caco2_Wang,2.0,1337,10,1.0,mae,14819472063.594656,8.079406222420491,1e-05,0.5,0.4983525109113806,0.0031397174254317113,0.0141287284144427,47.5
Caco2_Wang,2.0,2024,10,1.0,mae,5003417514.495752,8.079406222420491,1e-05,0.5,0.503928959580451,0.0015698587127158557,0.004709576138147566,47.2
Lipophilicity_AstraZeneca,0.0,42,10,1.0,mae,0.7844103782415568,,,0.5132323048266927,0.532462342079689,0.0010204081632653062,0.013945578231292517,121.4
Lipophilicity_AstraZeneca,0.0,1337,10,1.0,mae,0.7919992995869723,,,0.5154035066407515,0.5033985260770976,0.0020408163265306124,0.011904761904761904,125.0
Lipophilicity_AstraZeneca,0.0,2024,10,1.0,mae,0.7867899816505434,,,0.508981211532232,0.5451129737609329,0.0,0.017687074829931974,122.3
Lipophilicity_AstraZeneca,0.5,42,10,1.0,mae,126894.7341406261,48.80169282486775,1e-05,0.5,0.4917010851959832,0.0017006802721088435,0.01020408163265306,122.5
Lipophilicity_AstraZeneca,0.5,1337,10,1.0,mae,97317.69398065585,48.80169282486775,1e-05,0.5,0.488265306122449,0.003061224489795918,0.00816326530612245,122.3
Lipophilicity_AstraZeneca,0.5,2024,10,1.0,mae,13746.706723240193,48.80169282486775,1e-05,0.5,0.49925291545189504,0.0017006802721088435,0.011904761904761904,122.2
Lipophilicity_AstraZeneca,1.0,42,10,1.0,mae,26880489.73261905,19.05359753163139,1e-05,0.5,0.49521015549076774,0.0013605442176870747,0.006802721088435374,122.6
Lipophilicity_AstraZeneca,1.0,1337,10,1.0,mae,9301605.170952382,19.05359753163139,1e-05,0.5,0.49248299319727884,0.0003401360544217687,0.011904761904761904,122.8
Lipophilicity_AstraZeneca,1.0,2024,10,1.0,mae,8425504.852261905,19.05359753163139,1e-05,0.5,0.49949789439585357,0.0020408163265306124,0.009523809523809525,121.6
Lipophilicity_AstraZeneca,2.0,42,10,1.0,mae,10622196815.329288,8.079406222420491,1e-05,0.5,0.47779518950437316,0.0,0.011904761904761904,122.3
Lipophilicity_AstraZeneca,2.0,1337,10,1.0,mae,883588849.8135716,8.079406222420491,1e-05,0.5,0.5091395367670879,0.002380952380952381,0.013265306122448979,123.2
Lipophilicity_AstraZeneca,2.0,2024,10,1.0,mae,4635759009.919762,8.079406222420491,1e-05,0.5,0.5040662455458373,0.0,0.006802721088435374,122.0
Solubility_AqSolDB,0.0,42,10,1.0,mae,1.043843725629225,,,0.5607809079780564,0.5053790247352133,0.00214715144574864,0.013884912682507872,263.0
Solubility_AqSolDB,0.0,1337,10,1.0,mae,1.064190565291025,,,0.5419160446940092,0.5082297436994312,0.000143143429716576,0.01503006012024048,262.8
Solubility_AqSolDB,0.0,2024,10,1.0,mae,1.038221212854046,,,0.4890880552148005,0.5116061581636697,0.0008588605782994561,0.011737761236759233,263.2
Solubility_AqSolDB,0.5,42,10,1.0,mae,14934.311841602952,48.80169282486775,1e-05,0.5004294302891498,0.4952189234323858,0.004580589750930432,0.018465502433438304,268.2
Solubility_AqSolDB,0.5,1337,10,1.0,mae,24061.472085288384,48.80169282486775,1e-05,0.5,0.4798884198040548,0.001002004008016032,0.006584597766962496,265.3
Solubility_AqSolDB,0.5,2024,10,1.0,mae,21404.814601325317,48.80169282486775,1e-05,0.5005725737188663,0.49588976938066703,0.0007157171485828801,0.011880904666475808,261.8
Solubility_AqSolDB,1.0,42,10,1.0,mae,5923000.264904893,19.05359753163139,1e-05,0.5,0.4967640409942139,0.004866876610363584,0.013169195533924993,262.9
Solubility_AqSolDB,1.0,1337,10,1.0,mae,10385205.385091031,19.05359753163139,1e-05,0.5,0.4893828360634281,0.0014314342971657602,0.009018036072144289,264.8
Solubility_AqSolDB,1.0,2024,10,1.0,mae,74154340.43814382,19.05359753163139,1e-05,0.5,0.4992283013698905,0.000572573718866304,0.006155167477812768,263.0
Solubility_AqSolDB,2.0,42,10,1.0,mae,575574691.207554,8.079406222420491,1e-05,0.5,0.5020626416292059,0.0007157171485828801,0.012167191525908961,263.8
Solubility_AqSolDB,2.0,1337,10,1.0,mae,6731217126.81571,8.079406222420491,1e-05,0.5,0.4866544377115344,0.001288290867449184,0.013455482393358144,263.3
Solubility_AqSolDB,2.0,2024,10,1.0,mae,679149839.4056219,8.079406222420491,1e-05,0.5,0.4971268812752481,0.000286286859433152,0.011022044088176353,263.7
BBB_Martins,0.0,42,10,1.0,auc,0.7793347404627893,,,0.4959457538748471,0.5282739900784502,0.0,0.0063335679099225895,76.1
BBB_Martins,0.0,1337,10,1.0,auc,0.8004416823014383,,,0.4762413203773101,0.49452616106745056,0.0007037297677691766,0.0049261083743842365,66.7
BBB_Martins,0.0,2024,10,1.0,auc,0.8121482176360225,,,0.5327555007054632,0.520484429545557,0.0,0.013370865587614356,66.4
BBB_Martins,0.5,42,10,1.0,auc,0.47560975609756095,48.80169282486775,1e-05,0.49612948627726955,0.4993396033460097,0.0,0.012667135819845179,75.4
BBB_Martins,0.5,1337,10,1.0,auc,0.4969512195121951,48.80169282486775,1e-05,0.47853624208304013,0.4862200698183129,0.003518648838845883,0.011963406052076003,66.4
BBB_Martins,0.5,2024,10,1.0,auc,0.5,48.80169282486775,1e-05,0.5239268121041519,0.49315683467203764,0.00422237860661506,0.013370865587614356,75.6
BBB_Martins,1.0,42,10,1.0,auc,0.505823952470294,19.05359753163139,1e-05,0.48434201266713584,0.497894010670346,0.0014074595355383533,0.007741027445460943,66.9
BBB_Martins,1.0,1337,10,1.0,auc,0.5003126954346466,19.05359753163139,1e-05,0.4797677691766362,0.49956146888855757,0.0,0.007037297677691766,76.7
BBB_Martins,1.0,2024,10,1.0,auc,0.5,19.05359753163139,1e-05,0.47607318789584796,0.5073579627196556,0.0007037297677691766,0.023926812104152005,76.0
BBB_Martins,2.0,42,10,1.0,auc,0.5,8.079406222420491,1e-05,0.5239268121041519,0.513166333290578,0.0014074595355383533,0.007037297677691766,75.9
BBB_Martins,2.0,1337,10,1.0,auc,0.4670497185741089,8.079406222420491,1e-05,0.4442294159042927,0.49338043353913674,0.0028149190710767065,0.018296973961998593,76.2
BBB_Martins,2.0,2024,10,1.0,auc,0.5,8.079406222420491,1e-05,0.5239268121041519,0.495377223422068,0.00422237860661506,0.023926812104152005,76.0
HIA_Hou,0.0,42,10,1.0,auc,0.8600823045267489,,,0.48808084664164064,0.5115267968865984,0.01240694789081886,0.02481389578163772,31.6
HIA_Hou,0.0,1337,10,1.0,auc,0.8818930041152263,,,0.5936141333163665,0.5055884286653518,0.0024813895781637717,0.03722084367245657,31.4
HIA_Hou,0.0,2024,10,1.0,auc,0.8699588477366256,,,0.5117812983817946,0.5301478229517932,0.0024813895781637717,0.0024813895781637717,31.5
HIA_Hou,0.5,42,10,1.0,auc,0.5,48.80169282486775,1e-05,0.4392059553349876,0.5509957370999555,0.02481389578163772,0.02977667493796526,31.6
HIA_Hou,0.5,1337,10,1.0,auc,0.6851851851851852,48.80169282486775,1e-05,0.5392886683209264,0.4900850459163114,0.004962779156327543,0.01240694789081886,31.7
HIA_Hou,0.5,2024,10,1.0,auc,0.5,48.80169282486775,1e-05,0.4392059553349876,0.5297448622510658,0.0,0.004962779156327543,31.8
HIA_Hou,1.0,42,10,1.0,auc,0.5148148148148148,19.05359753163139,1e-05,0.5523848910945686,0.5463298763546902,0.02977667493796526,0.03722084367245657,31.6
HIA_Hou,1.0,1337,10,1.0,auc,0.5,19.05359753163139,1e-05,0.5607940446650124,0.4913363449343598,0.0,0.007444168734491315,31.5
HIA_Hou,1.0,2024,10,1.0,auc,0.48703703703703705,19.05359753163139,1e-05,0.5022056796250345,0.5221522343110433,0.009925558312655087,0.01488833746898263,31.8
HIA_Hou,2.0,42,10,1.0,auc,0.5,8.079406222420491,1e-05,0.4392059553349876,0.5517592415855443,0.02977667493796526,0.04714640198511166,31.7
HIA_Hou,2.0,1337,10,1.0,auc,0.5055555555555555,8.079406222420491,1e-05,0.43493245106148326,0.48270450255561914,0.004962779156327543,0.03225806451612903,31.6
HIA_Hou,2.0,2024,10,1.0,auc,0.4925925925925926,8.079406222420491,1e-05,0.5601047697821891,0.49146359568195797,0.004962779156327543,0.004962779156327543,31.9
